#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 08 04 59   0  0.0 99.0 99.00 99.00 99.00 999 1018.5  11.5  12.9 999.0 99.0 99.00
2010 01 08 05 59  40  1.5 99.0 99.00 99.00 99.00 999 1018.3  11.4  12.9 999.0 99.0 99.00
2010 01 08 06 59  60  3.6 99.0 99.00 99.00 99.00 999 1018.0  11.5  12.9 999.0 99.0 99.00
2010 01 08 07 59  40  4.1 99.0 99.00 99.00 99.00 999 1017.7  11.7  12.9 999.0 99.0 99.00
2010 01 08 08 59  40  5.7 99.0 99.00 99.00 99.00 999 1017.4  11.4  12.9 999.0 99.0 99.00
2010 01 08 09 59  50  5.1 99.0 99.00 99.00 99.00 999 1017.0  11.3  12.9 999.0 99.0 99.00
2010 01 08 10 59  60  5.7 99.0 99.00 99.00 99.00 999 1017.3  11.3  12.9 999.0 99.0 99.00
2010 01 08 11 59  50  6.7 99.0 99.00 99.00 99.00 999 1017.3  11.5  12.9 999.0 99.0 99.00
2010 01 08 12 59  60  5.7 99.0 99.00 99.00 99.00 999 1017.8  11.4  12.9 999.0 99.0 99.00
2010 01 08 13 59  50  6.2 99.0 99.00 99.00 99.00 999 1017.6  11.3  12.9 999.0 99.0 99.00
2010 01 08 14 59  60  6.2 99.0 99.00 99.00 99.00 999 1018.1  11.0  12.9 999.0 99.0 99.00
2010 01 08 15 59  30  5.7 99.0 99.00 99.00 99.00 999 1018.7  11.1 999.0 999.0 99.0 99.00
2010 01 08 16 59  30  4.6 99.0 99.00 99.00 99.00 999 1019.2  11.1  12.9 999.0 99.0 99.00
2010 01 08 17 59 350  5.1 99.0 99.00 99.00 99.00 999 1020.4  11.2  12.9 999.0 99.0 99.00
2010 01 08 18 59  40  2.1 99.0 99.00 99.00 99.00 999 1020.6  11.5  12.7 999.0 99.0 99.00
2010 01 08 19 59 330  1.0 99.0 99.00 99.00 99.00 999 1020.5  12.1  12.7 999.0 99.0 99.00
2010 01 08 20 59  60  5.7 99.0 99.00 99.00 99.00 999 1018.3  11.8  12.7 999.0 99.0 99.00
2010 01 08 21 59  80  4.1 99.0 99.00 99.00 99.00 999 1017.4  12.5  12.7 999.0 99.0 99.00
2010 01 08 22 59  10  2.6 99.0 99.00 99.00 99.00 999 1017.6  13.0  12.7 999.0 99.0 99.00
2010 01 08 23 59 320  2.1 99.0 99.00 99.00 99.00 999 1018.8  13.3  12.8 999.0 99.0 99.00
2010 01 09 00 59 280  3.6 99.0 99.00 99.00 99.00 999 1019.8  12.6  12.8 999.0 99.0 99.00
2010 01 09 01 59 260  4.1 99.0 99.00 99.00 99.00 999 1020.6  12.5  12.9 999.0 99.0 99.00
2010 01 09 02 59 230  2.6 99.0 99.00 99.00 99.00 999 1021.2  12.2  12.8 999.0 99.0 99.00
2010 01 09 03 59 270  4.1 99.0 99.00 99.00 99.00 999 1021.1  12.2  12.9 999.0 99.0 99.00
2010 01 09 04 59 280  2.1 99.0 99.00 99.00 99.00 999 1020.9  11.9  12.9 999.0 99.0 99.00
2010 01 09 05 59 150  1.5 99.0 99.00 99.00 99.00 999 1021.4  11.6  12.9 999.0 99.0 99.00
2010 01 09 06 59  20  1.5 99.0 99.00 99.00 99.00 999 1021.7  11.4  12.9 999.0 99.0 99.00
2010 01 09 07 59  50  5.7 99.0 99.00 99.00 99.00 999 1020.8  11.2  12.9 999.0 99.0 99.00
2010 01 09 08 59  70  5.7 99.0 99.00 99.00 99.00 999 1020.2  11.0  12.9 999.0 99.0 99.00
2010 01 09 09 59  70  5.1 99.0 99.00 99.00 99.00 999 1020.4  10.7  12.9 999.0 99.0 99.00
2010 01 09 10 59  30  4.1 99.0 99.00 99.00 99.00 999 1020.3  11.1  12.9 999.0 99.0 99.00
2010 01 09 11 59  30  4.6 99.0 99.00 99.00 99.00 999 1019.9  10.9  12.9 999.0 99.0 99.00
2010 01 09 12 59  50  4.1 99.0 99.00 99.00 99.00 999 1019.9  11.5  12.9 999.0 99.0 99.00
2010 01 09 13 59  60  4.1 99.0 99.00 99.00 99.00 999 1020.6  11.3  12.9 999.0 99.0 99.00
2010 01 09 14 59  30  4.1 99.0 99.00 99.00 99.00 999 1020.8  10.8  12.7 999.0 99.0 99.00
2010 01 09 15 59  70  5.1 99.0 99.00 99.00 99.00 999 1021.3  10.8  12.8 999.0 99.0 99.00
2010 01 09 16 59  70  6.2 99.0 99.00 99.00 99.00 999 1021.8  10.5  12.8 999.0 99.0 99.00
2010 01 09 18 59  60  3.6 99.0 99.00 99.00 99.00 999 1022.5  10.8  12.7 999.0 99.0 99.00
2010 01 09 19 59  60  4.1 99.0 99.00 99.00 99.00 999 1021.6  11.4  12.7 999.0 99.0 99.00
2010 01 09 20 59  60  2.1 99.0 99.00 99.00 99.00 999 1020.8  11.7  12.7 999.0 99.0 99.00
2010 01 09 21 59 310  2.6 99.0 99.00 99.00 99.00 999 1020.4  11.4  12.8 999.0 99.0 99.00
2010 01 09 22 59 350  3.6 99.0 99.00 99.00 99.00 999 1019.9  11.4  12.8 999.0 99.0 99.00
2010 01 09 23 59 320  1.5 99.0 99.00 99.00 99.00 999 1020.3  11.8  12.8 999.0 99.0 99.00
2010 01 10 00 59 240  1.5 99.0 99.00 99.00 99.00 999 1020.6  11.8  12.8 999.0 99.0 99.00
2010 01 10 01 59 280  3.6 99.0 99.00 99.00 99.00 999 1021.0  11.6  12.8 999.0 99.0 99.00
2010 01 10 02 59 290  3.1 99.0 99.00 99.00 99.00 999 1021.3  11.6  12.9 999.0 99.0 99.00
2010 01 10 03 59 290  2.6 99.0 99.00 99.00 99.00 999 1021.4  11.6  12.9 999.0 99.0 99.00
2010 01 10 04 59 280  2.6 99.0 99.00 99.00 99.00 999 1021.7  11.6  12.9 999.0 99.0 99.00
2010 01 10 05 59 300  2.1 99.0 99.00 99.00 99.00 999 1021.9  11.5  12.9 999.0 99.0 99.00
2010 01 10 06 59  10  2.1 99.0 99.00 99.00 99.00 999 1021.9  11.3  12.9 999.0 99.0 99.00
2010 01 10 07 59  20  2.6 99.0 99.00 99.00 99.00 999 1021.8  10.8  12.9 999.0 99.0 99.00
2010 01 10 08 59  30  3.1 99.0 99.00 99.00 99.00 999 1021.3  10.7  12.9 999.0 99.0 99.00
2010 01 10 09 59  30  4.1 99.0 99.00 99.00 99.00 999 1021.3  10.2  12.9 999.0 99.0 99.00
2010 01 10 10 59  40  4.1 99.0 99.00 99.00 99.00 999 1020.9   9.8  12.9 999.0 99.0 99.00
2010 01 10 11 59  50  4.6 99.0 99.00 99.00 99.00 999 1020.4   9.3  12.8 999.0 99.0 99.00
2010 01 10 12 59  50  5.1 99.0 99.00 99.00 99.00 999 1020.0   9.6  12.8 999.0 99.0 99.00
2010 01 10 13 59  50  6.2 99.0 99.00 99.00 99.00 999 1019.8  10.3  12.8 999.0 99.0 99.00
