#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 04 14 15 999 99.0 99.0  0.61  9.88  8.14 346 9999.0 999.0  12.7 999.0 99.0 99.00
2010 01 04 14 45 999 99.0 99.0  0.57 10.53  8.09 349 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 15 15 999 99.0 99.0  0.57 11.76  8.06 349 9999.0 999.0  12.7 999.0 99.0 99.00
2010 01 04 15 45 999 99.0 99.0  0.60 11.76  8.09 353 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 16 15 999 99.0 99.0  0.56 11.76  7.67 352 9999.0 999.0  12.7 999.0 99.0 99.00
2010 01 04 16 45 999 99.0 99.0  0.61 11.76  8.01 349 9999.0 999.0  12.7 999.0 99.0 99.00
2010 01 04 17 15 999 99.0 99.0  0.59 11.76  8.08 349 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 17 45 999 99.0 99.0  0.54 10.53  6.99 344 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 18 15 999 99.0 99.0  0.58 11.76  7.76 347 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 18 45 999 99.0 99.0  0.57 11.76  7.55 347 9999.0 999.0  12.8 999.0 99.0 99.00
2010 01 04 19 15 999 99.0 99.0  0.55 11.76  8.29 342 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 04 19 45 999 99.0 99.0  0.57 11.76  8.64 344 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 04 23 45 999 99.0 99.0  0.64 11.11  9.72 349 9999.0 999.0  13.1 999.0 99.0 99.00
2010 01 05 00 15 999 99.0 99.0  0.60 11.11  9.13 349 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 05 00 45 999 99.0 99.0  0.62 11.76  9.14 346 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 05 01 15 999 99.0 99.0  0.63 11.76  9.02 352 9999.0 999.0  13.0 999.0 99.0 99.00
2010 01 05 01 45 999 99.0 99.0  0.68 11.11  9.48 342 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 05 02 15 999 99.0 99.0  0.62 11.11  9.11 342 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 05 02 45 999 99.0 99.0  0.68 11.11  9.10 347 9999.0 999.0  12.9 999.0 99.0 99.00
2010 01 05 03 15 999 99.0 99.0  0.63 11.76  9.33 344 9999.0 999.0  12.9 999.0 99.0 99.00
